branch,review,restaurant,Review_Date,source_file,review_text,predicted_issue_category,confidence,issue_cluster,chain,emotion,emotion_conf,urgency_score,escalate
Adyar+Ananda+Bhavan+ +A2B,"i have ordered idly and sambar through swiggy for my mother who had her surgery, i have found a live insect in sambar while feeding her. this type of unsafe preparation of food from the reputed brand is shocking and …",A2B,2026-03-18,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"i have ordered idly and sambar through swiggy for my mother who had her surgery, i have found a live insect in sambar while feeding her. this type of unsafe preparation of food from the reputed brand is shocking and …",Food Quantity & Value for Money,0.59,37,A2B,neutral,heuristic,8,True
"Karur Bypass, Trichy",this hotel is not worth for what we are paying food is too costly for an sambar rice .after eating the briyani i got vomit every thing worst food i have ever eaten 🤮🤮🤮🤮🤮.don't waste your money in this hotel nowadays sangeetha is worst.also …,Sangeetha,2026-01-03,Analysis\data\raw_reviews_new\Google\sangeetha_reviews_with_branch_with_dates.xlsx,this hotel is not worth for what we are paying food is too costly for an sambar rice .after eating the briyani i got vomit every thing worst food i have ever eaten 🤮🤮🤮🤮🤮.don't waste your money in this hotel nowadays sangeetha is worst.also …,Food Quantity & Value for Money,0.32,-1,Sangeetha,betrayal,heuristic,7,True
Adyar+Ananda+Bhavan+ +A2B,gone worst. sweets are very old stock. the very next day its got rotten. but the bill is so expensive... not worthy at all. bad customer service. no respect at all. we have to wait nearly 20 to take the order. my foot😡 …,A2B,2026-02-02,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,gone worst. sweets are very old stock. the very next day its got rotten. but the bill is so expensive... not worthy at all. bad customer service. no respect at all. we have to wait nearly 20 to take the order. my foot😡 …,Food Quantity & Value for Money,0.6,11,A2B,betrayal,heuristic,7,True
SRI ANNAPOORANA Pure Veg,"worst taste, cockroaches roaming here n there , worst taste of chapati and parota per cooked chapati and parota is served again just by heating again for 100₹ not even worth for 50₹ price is too high not worth not worth for 1 star even.",Sree Annapoorna,2026-06-07,Analysis\data\raw_reviews_new\Google\sree_annapoorna_Google_reviews_tamilnadu_with_dates.csv,"worst taste, cockroaches roaming here n there , worst taste of chapati and parota per cooked chapati and parota is served again just by heating again for 100₹ not even worth for 50₹ price is too high not worth not worth for 1 star even.",Slow Service & Staff Negligence,0.2033333333333333,36,Sree Annapoorna,betrayal,heuristic,7,True
Adyar+Ananda+Bhavan+ +A2B,"i have been to many outlets of a2b, but the outlet in this area and my experience was not at all good, i found the staff really rude and disrespectful, also the quality off food they have served was really bad, and hygiene i will rate 0, i …",A2B,2026-05-27,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"i have been to many outlets of a2b, but the outlet in this area and my experience was not at all good, i found the staff really rude and disrespectful, also the quality off food they have served was really bad, and hygiene i will rate 0, i …",Food Quantity & Value for Money,0.41,2,A2B,frustration,heuristic,6,True
Adyar+Ananda+Bhavan+ +A2B,worst service at 10am. no server to ask for food. fight between servers as to who will serve which table and one table no one was ready to serve. that too when crowd was negligible. how are we supposed to know to not sit at table where we …,A2B,2026-06-05,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,worst service at 10am. no server to ask for food. fight between servers as to who will serve which table and one table no one was ready to serve. that too when crowd was negligible. how are we supposed to know to not sit at table where we …,Food Quantity & Value for Money,0.1366666666666667,50,A2B,frustration,heuristic,6,True
Tirupur Sree Annapoorna,"stale food served, no parking, stinking atmosphere, rude service, a very bad experience",Sree Annapoorna,2026-03-05,Analysis\data\raw_reviews_new\Google\sree_annapoorna_Google_reviews_tamilnadu_with_dates.csv,"stale food served, no parking, stinking atmosphere, rude service, a very bad experience",Parking & Accessibility,0.62,50,Sree Annapoorna,frustration,heuristic,6,True
Tirupur Sree Annapoorna,my friend and me went there.in our rasam rice there was an iron rod.in curd a cockroach 🪳.we fought for this but they didn't listen . the staffs were rude too.and everything was dirty. …,Sree Annapoorna,2026-02-28,Analysis\data\raw_reviews_new\Google\sree_annapoorna_Google_reviews_tamilnadu_with_dates.csv,my friend and me went there.in our rasam rice there was an iron rod.in curd a cockroach 🪳.we fought for this but they didn't listen . the staffs were rude too.and everything was dirty. …,Cleanliness & Restroom Hygiene,0.3366666666666667,-1,Sree Annapoorna,frustration,heuristic,6,True
Tirupur Sree Annapoorna,the worst lunch i have ever tasted in this surrounding. i wonder if the officers or the food regulator of food safety and standards authority of india (fssai) ever inspected the hygiene and quality of food in this restaurant. it is very sad …,Sree Annapoorna,2026-04-19,Analysis\data\raw_reviews_new\Google\sree_annapoorna_Google_reviews_tamilnadu_with_dates.csv,the worst lunch i have ever tasted in this surrounding. i wonder if the officers or the food regulator of food safety and standards authority of india (fssai) ever inspected the hygiene and quality of food in this restaurant. it is very sad …,Food Quantity & Value for Money,0.61,-1,Sree Annapoorna,neutral,heuristic,6,True
Hotel Devi Annapoorna,"very bad service and poor maintenance. the room was dirty, insects everywhere and the washroom condition was horrible. staff response is also very slow. this is one of the worst lodges i have ever stayed in namakkal waste of money. please avoid this lodge and hotel old food given hotel devi annapoorna international namakal",Sree Annapoorna,2026-03-07,Analysis\data\raw_reviews_new\Google\sree_annapoorna_Google_reviews_tamilnadu_with_dates.csv,"very bad service and poor maintenance. the room was dirty, insects everywhere and the washroom condition was horrible. staff response is also very slow. this is one of the worst lodges i have ever stayed in namakkal waste of money. please avoid this lodge and hotel old food given hotel devi annapoorna international namakal",Food Quantity & Value for Money,0.4666666666666667,43,Sree Annapoorna,frustration,heuristic,6,True
Adyar,thumb-up-fill negative quality terrible taste as stale food was reheated and served. rude staff behaviour (north indians). i would not suggest this food to any person.,A2B,2025-12-24,Analysis\data\raw_reviews_new\Trip Advisor\TripAdvisorA2BchennaiReviews_with_dates.csv,thumb-up-fill negative quality terrible taste as stale food was reheated and served. rude staff behaviour (north indians). i would not suggest this food to any person.,Staff Courtesy & Behaviour,0.2266666666666667,0,A2B,frustration,heuristic,6,True
Restaurant_Review-g304556-d1118328-Reviews-Sangeetha_Gandhi_Nagar-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"we went to breakfast. the place was busy but they had only 1 person to take order and 1 person to serve. so it was a painful process to get their attention. if there was additional order, i had to walk up to the person to give the order as he would not come near our tables. the food was as usual, but some items took more than 20 mins. what bothered me most was that the cockroaches on tables, in ac. what am i paying for? tried to talk to the staff but hey did not bother as they had people waiting.",Sangeetha,2026-05-19,Analysis\data\raw_reviews_new\Trip Advisor\TripAdvisorSangeethaReviews_with_dates.csv,"we went to breakfast. the place was busy but they had only 1 person to take order and 1 person to serve. so it was a painful process to get their attention. if there was additional order, i had to walk up to the person to give the order as he would not come near our tables. the food was as usual, but some items took more than 20 mins. what bothered me most was that the cockroaches on tables, in ac. what am i paying for? tried to talk to the staff but hey did not bother as they had people waiting.",Food Quantity & Value for Money,0.68,50,Sangeetha,frustration,heuristic,6,True
Chennai,"there is no coordination… after ordering, waiting half an hour… they are saying ordered food not available.again ordered revised…. then they forget that revised one and fighting … finally got the worst tasted food also…. eating the some flavored parota",Saravana Bhavan,2026-06-01,Analysis\data\raw_reviews_new\Trip Advisor\TripAdvisorSaravanaBhavanReviews__1__with_dates.csv,"there is no coordination… after ordering, waiting half an hour… they are saying ordered food not available.again ordered revised…. then they forget that revised one and fighting … finally got the worst tasted food also…. eating the some flavored parota",Food Quantity & Value for Money,0.6066666666666667,50,Saravana Bhavan,frustration,heuristic,6,True
