chain,issue_cluster,betrayal,delight,disappointment,frustration,neutral,nostalgia,relief
A2B,-1,4,54,17,21,187,0,0
A2B,0,0,3,1,2,53,0,0
A2B,1,0,1,0,0,0,0,0
A2B,2,3,22,9,14,127,0,1
A2B,3,0,13,1,1,19,2,0
A2B,6,0,1,0,0,6,0,0
A2B,7,0,0,0,0,1,0,0
A2B,9,0,0,0,1,3,0,0
A2B,11,1,1,1,2,5,0,0
A2B,13,0,2,0,0,2,0,0
A2B,14,0,3,0,1,9,0,0
A2B,15,0,1,0,0,3,0,0
A2B,17,0,1,0,0,6,0,0
A2B,18,0,3,0,1,5,0,0
A2B,19,0,4,0,0,9,0,0
A2B,20,0,1,0,0,3,0,0
A2B,21,0,2,0,0,2,0,0
A2B,23,0,1,0,1,2,0,0
A2B,26,0,10,0,0,17,0,0
A2B,32,0,8,0,0,5,0,0
A2B,33,0,1,0,0,1,0,0
A2B,34,1,7,1,1,26,0,0
A2B,35,0,1,0,0,1,0,0
A2B,36,2,5,3,1,36,0,0
A2B,37,1,2,1,1,12,0,0
A2B,38,1,2,1,0,16,0,0
A2B,39,0,3,0,2,2,0,0
A2B,40,1,2,1,0,6,0,0
A2B,41,0,2,0,0,6,0,0
A2B,42,0,0,0,0,2,0,0
A2B,43,0,0,0,2,4,0,0
A2B,44,0,34,0,1,43,0,0
A2B,45,1,1,0,1,4,0,0
A2B,46,3,1,1,0,6,0,0
A2B,47,0,4,0,0,6,0,0
A2B,48,0,4,1,1,25,0,0
A2B,49,0,0,0,0,5,0,0
A2B,50,2,1,2,36,55,0,0
A2B,51,1,0,1,0,1,0,0
A2B,52,0,0,0,0,5,0,0
A2B,53,0,0,0,0,3,0,0
A2B,54,0,0,0,0,2,0,0
A2B,55,0,1,0,0,0,0,0
A2B,56,0,0,0,0,1,0,0
A2B,57,0,0,0,0,2,0,0
A2B,58,0,0,0,0,1,0,0
A2B,59,0,0,1,1,7,0,0
A2B,60,0,1,0,1,4,0,0
Geetham,-1,0,15,8,5,46,0,0
Geetham,6,0,3,1,1,1,0,0
Geetham,9,0,0,0,0,1,0,0
Geetham,10,0,0,0,0,1,0,0
Geetham,12,0,8,1,3,30,0,0
Geetham,13,0,0,0,0,1,0,0
Geetham,14,0,3,0,0,2,0,0
Geetham,15,0,2,0,0,1,0,0
Geetham,17,0,0,0,0,4,0,0
Geetham,19,0,1,1,0,2,0,0
Geetham,21,0,0,0,0,1,0,0
Geetham,24,0,3,0,0,1,0,0
Geetham,26,0,2,0,0,4,0,0
Geetham,28,0,0,0,0,1,0,0
Geetham,33,0,0,1,0,1,0,0
Geetham,34,0,1,0,2,8,0,0
Geetham,36,0,1,0,0,6,0,0
Geetham,37,0,0,0,0,2,0,0
Geetham,38,0,1,0,1,4,0,0
Geetham,40,0,2,1,1,3,0,0
Geetham,41,0,3,0,0,2,0,0
Geetham,44,0,6,0,0,22,0,0
Geetham,45,0,1,0,0,0,0,0
Geetham,47,0,1,0,1,1,0,0
Geetham,48,0,0,0,1,9,0,0
Geetham,50,1,1,0,10,11,0,0
Geetham,51,2,0,0,0,0,0,0
Geetham,52,0,0,0,0,2,0,0
Geetham,55,0,0,0,0,1,0,0
Geetham,56,0,3,0,0,0,0,0
Geetham,59,0,1,1,1,3,0,0
Namma Veedu Vasanta Bhavan,-1,3,50,4,8,120,1,0
Namma Veedu Vasanta Bhavan,1,0,6,0,0,11,0,0
Namma Veedu Vasanta Bhavan,2,0,0,0,0,1,0,0
Namma Veedu Vasanta Bhavan,6,0,9,0,1,5,0,0
Namma Veedu Vasanta Bhavan,7,0,18,1,2,30,0,0
Namma Veedu Vasanta Bhavan,8,0,9,1,1,16,0,1
Namma Veedu Vasanta Bhavan,9,0,0,0,0,2,0,0
Namma Veedu Vasanta Bhavan,10,0,0,0,0,2,0,0
Namma Veedu Vasanta Bhavan,11,0,0,0,0,1,0,0
Namma Veedu Vasanta Bhavan,12,0,0,0,0,1,0,0
Namma Veedu Vasanta Bhavan,13,0,2,0,0,1,0,0
Namma Veedu Vasanta Bhavan,14,0,3,0,0,8,0,0
Namma Veedu Vasanta Bhavan,15,0,1,0,0,1,0,0
Namma Veedu Vasanta Bhavan,17,0,0,0,0,1,0,0
Namma Veedu Vasanta Bhavan,18,0,2,0,0,0,0,0
Namma Veedu Vasanta Bhavan,19,0,3,0,0,1,0,0
Namma Veedu Vasanta Bhavan,20,0,1,0,0,1,0,0
Namma Veedu Vasanta Bhavan,21,0,1,0,0,2,0,0
Namma Veedu Vasanta Bhavan,26,0,4,0,0,8,0,0
Namma Veedu Vasanta Bhavan,27,0,0,0,0,2,0,0
Namma Veedu Vasanta Bhavan,33,0,0,1,0,2,0,0
Namma Veedu Vasanta Bhavan,34,0,2,0,1,11,0,0
Namma Veedu Vasanta Bhavan,35,0,1,0,0,0,0,0
Namma Veedu Vasanta Bhavan,36,1,9,2,0,24,0,0
Namma Veedu Vasanta Bhavan,37,0,1,2,0,4,0,0
Namma Veedu Vasanta Bhavan,38,0,3,0,1,10,0,0
Namma Veedu Vasanta Bhavan,39,0,1,0,0,1,0,0
Namma Veedu Vasanta Bhavan,40,0,1,0,0,3,0,0
Namma Veedu Vasanta Bhavan,41,0,0,0,0,8,0,0
Namma Veedu Vasanta Bhavan,42,0,2,0,0,7,0,0
Namma Veedu Vasanta Bhavan,43,1,0,0,0,1,0,0
Namma Veedu Vasanta Bhavan,44,0,37,1,0,40,0,0
Namma Veedu Vasanta Bhavan,45,0,0,0,0,3,0,0
Namma Veedu Vasanta Bhavan,46,2,0,0,1,2,0,0
Namma Veedu Vasanta Bhavan,47,0,1,0,0,2,0,0
Namma Veedu Vasanta Bhavan,48,0,0,1,0,7,0,0
Namma Veedu Vasanta Bhavan,49,1,1,0,0,0,0,0
Namma Veedu Vasanta Bhavan,50,2,0,0,8,16,0,1
Namma Veedu Vasanta Bhavan,51,1,0,1,0,2,0,0
Namma Veedu Vasanta Bhavan,52,0,2,0,0,5,0,0
Namma Veedu Vasanta Bhavan,53,0,0,0,1,2,0,0
Namma Veedu Vasanta Bhavan,54,0,0,0,0,2,0,0
Namma Veedu Vasanta Bhavan,55,0,2,0,0,0,0,0
Namma Veedu Vasanta Bhavan,56,0,3,1,0,2,0,0
Namma Veedu Vasanta Bhavan,57,0,0,0,0,1,0,0
Namma Veedu Vasanta Bhavan,59,0,1,0,0,11,0,0
Sangeetha,-1,9,148,16,20,293,1,0
Sangeetha,2,0,0,2,0,1,0,0
Sangeetha,3,0,0,0,0,1,0,0
Sangeetha,5,0,0,0,0,4,0,0
Sangeetha,6,0,14,0,1,17,0,0
Sangeetha,7,0,0,0,1,0,0,0
Sangeetha,10,2,0,0,0,2,0,0
Sangeetha,11,0,0,0,0,1,0,0
Sangeetha,12,0,1,0,0,0,0,0
Sangeetha,13,0,3,0,0,5,0,0
Sangeetha,14,0,10,0,0,18,0,0
Sangeetha,15,0,4,1,1,9,0,0
Sangeetha,16,0,7,0,0,10,0,1
Sangeetha,17,0,7,0,1,11,0,0
Sangeetha,18,0,4,0,0,1,0,0
Sangeetha,19,0,2,0,1,2,0,0
Sangeetha,20,0,2,0,0,2,0,0
Sangeetha,21,0,1,0,0,1,0,0
Sangeetha,22,0,9,0,1,5,0,0
Sangeetha,23,0,11,0,0,9,0,0
Sangeetha,24,0,4,0,1,0,0,0
Sangeetha,25,0,16,0,1,33,0,0
Sangeetha,26,0,32,2,4,28,0,1
Sangeetha,27,0,2,0,1,1,0,0
Sangeetha,28,0,25,0,0,28,0,0
Sangeetha,29,0,9,1,0,8,0,0
Sangeetha,30,0,0,0,0,1,0,0
Sangeetha,31,0,0,0,0,1,0,0
Sangeetha,33,0,5,1,0,2,0,0
Sangeetha,34,0,26,4,1,40,0,2
Sangeetha,35,0,1,1,0,2,0,0
Sangeetha,36,4,18,3,1,61,0,0
Sangeetha,37,0,3,0,0,8,0,0
Sangeetha,38,1,5,4,1,15,0,0
Sangeetha,39,0,2,0,0,3,0,0
Sangeetha,40,1,9,0,1,13,0,0
Sangeetha,41,0,5,0,0,11,1,0
Sangeetha,42,0,2,1,3,10,0,0
Sangeetha,43,1,0,0,1,3,0,0
Sangeetha,44,0,34,0,0,44,0,0
Sangeetha,45,0,2,2,0,5,0,0
Sangeetha,46,0,3,2,0,8,0,0
Sangeetha,47,0,4,0,0,9,0,0
Sangeetha,48,0,8,0,1,21,0,0
Sangeetha,49,1,0,0,0,2,0,0
Sangeetha,50,5,1,1,23,47,0,1
Sangeetha,51,1,0,0,1,3,0,0
Sangeetha,52,0,8,0,0,10,0,0
Sangeetha,53,0,2,1,0,3,0,0
Sangeetha,54,0,2,0,0,7,0,0
Sangeetha,55,0,1,0,0,2,0,0
Sangeetha,56,0,3,0,0,4,0,0
Sangeetha,57,0,3,0,0,3,0,0
Sangeetha,58,0,1,0,1,5,0,0
Sangeetha,59,0,17,1,2,36,0,1
Sangeetha,60,0,2,0,0,4,0,0
Saravana Bhavan,-1,4,43,14,4,92,1,0
Saravana Bhavan,1,0,1,0,1,5,0,0
Saravana Bhavan,5,0,1,0,0,3,1,0
Saravana Bhavan,6,0,3,3,0,17,0,0
Saravana Bhavan,10,0,0,0,0,7,0,0
Saravana Bhavan,13,0,1,0,0,4,0,0
Saravana Bhavan,14,1,2,0,0,3,0,0
Saravana Bhavan,15,0,1,0,0,5,0,0
Saravana Bhavan,17,0,5,2,0,11,0,0
Saravana Bhavan,18,0,0,0,0,1,0,0
Saravana Bhavan,19,0,1,0,0,4,0,0
Saravana Bhavan,20,0,1,0,0,2,0,0
Saravana Bhavan,21,0,3,0,0,2,0,0
Saravana Bhavan,23,0,1,0,0,0,0,0
Saravana Bhavan,24,0,6,0,0,2,0,0
