branch,review,restaurant,source_file,review_text,predicted_issue_category,confidence,issue_cluster,emotion,emotion_conf,urgency_score,escalate
Adyar+Ananda+Bhavan+ +A2B,"i have ordered idly and sambar through swiggy for my mother who had her surgery, i have found a live insect in sambar while feeding her. this type of unsafe preparation of food from the reputed brand is shocking and …",A2B,data\raw_reviews\Google Reviews\a2b_reviews_tamilnadu_Google_Reviews.csv,"i have ordered idly and sambar through swiggy for my mother who had her surgery, i have found a live insect in sambar while feeding her. this type of unsafe preparation of food from the reputed brand is shocking and …",Food Quantity & Value for Money,0.59,Food Quantity & Value for Money,neutral,heuristic,8,True
Adyar+Ananda+Bhavan+ +A2B,gone worst. sweets are very old stock. the very next day its got rotten. but the bill is so expensive... not worthy at all. bad customer service. no respect at all. we have to wait nearly 20 to take the order. my foot😡 …,A2B,data\raw_reviews\Google Reviews\a2b_reviews_tamilnadu_Google_Reviews.csv,gone worst. sweets are very old stock. the very next day its got rotten. but the bill is so expensive... not worthy at all. bad customer service. no respect at all. we have to wait nearly 20 to take the order. my foot😡 …,Food Quantity & Value for Money,0.6,Food Quantity & Value for Money,betrayal,heuristic,7,True
"Karur Bypass, Trichy",this hotel is not worth for what we are paying food is too costly for an sambar rice .after eating the briyani i got vomit every thing worst food i have ever eaten 🤮🤮🤮🤮🤮.don't waste your money in this hotel nowadays sangeetha is worst.also …,Sangeetha,data\raw_reviews\Google Reviews\sangeetha_reviews_with_branch.xlsx,this hotel is not worth for what we are paying food is too costly for an sambar rice .after eating the briyani i got vomit every thing worst food i have ever eaten 🤮🤮🤮🤮🤮.don't waste your money in this hotel nowadays sangeetha is worst.also …,Food Quantity & Value for Money,0.32,Food Quantity & Value for Money,betrayal,heuristic,7,True
SRI ANNAPOORANA Pure Veg,"worst taste, cockroaches roaming here n there , worst taste of chapati and parota per cooked chapati and parota is served again just by heating again for 100₹ not even worth for 50₹ price is too high not worth not worth for 1 star even.",Sree Annapoorna,data\raw_reviews\Google Reviews\sree_annapoorna_Google_reviews_tamilnadu.csv,"worst taste, cockroaches roaming here n there , worst taste of chapati and parota per cooked chapati and parota is served again just by heating again for 100₹ not even worth for 50₹ price is too high not worth not worth for 1 star even.",Slow Service & Staff Negligence,0.2033333333333333,Slow Service & Staff Negligence,betrayal,heuristic,7,True
Adyar+Ananda+Bhavan+ +A2B,"i have been to many outlets of a2b, but the outlet in this area and my experience was not at all good, i found the staff really rude and disrespectful, also the quality off food they have served was really bad, and hygiene i will rate 0, i …",A2B,data\raw_reviews\Google Reviews\a2b_reviews_tamilnadu_Google_Reviews.csv,"i have been to many outlets of a2b, but the outlet in this area and my experience was not at all good, i found the staff really rude and disrespectful, also the quality off food they have served was really bad, and hygiene i will rate 0, i …",Food Quantity & Value for Money,0.41,Food Quantity & Value for Money,frustration,heuristic,6,True
Adyar+Ananda+Bhavan+ +A2B,worst service at 10am. no server to ask for food. fight between servers as to who will serve which table and one table no one was ready to serve. that too when crowd was negligible. how are we supposed to know to not sit at table where we …,A2B,data\raw_reviews\Google Reviews\a2b_reviews_tamilnadu_Google_Reviews.csv,worst service at 10am. no server to ask for food. fight between servers as to who will serve which table and one table no one was ready to serve. that too when crowd was negligible. how are we supposed to know to not sit at table where we …,Food Quantity & Value for Money,0.1366666666666667,Food Quantity & Value for Money,frustration,heuristic,6,True
Tirupur Sree Annapoorna,"stale food served, no parking, stinking atmosphere, rude service, a very bad experience",Sree Annapoorna,data\raw_reviews\Google Reviews\sree_annapoorna_Google_reviews_tamilnadu.csv,"stale food served, no parking, stinking atmosphere, rude service, a very bad experience",Parking & Accessibility,0.62,Parking & Accessibility,frustration,heuristic,6,True
Tirupur Sree Annapoorna,my friend and me went there.in our rasam rice there was an iron rod.in curd a cockroach 🪳.we fought for this but they didn't listen . the staffs were rude too.and everything was dirty. …,Sree Annapoorna,data\raw_reviews\Google Reviews\sree_annapoorna_Google_reviews_tamilnadu.csv,my friend and me went there.in our rasam rice there was an iron rod.in curd a cockroach 🪳.we fought for this but they didn't listen . the staffs were rude too.and everything was dirty. …,Cleanliness & Restroom Hygiene,0.3366666666666667,Cleanliness & Restroom Hygiene,frustration,heuristic,6,True
Tirupur Sree Annapoorna,the worst lunch i have ever tasted in this surrounding. i wonder if the officers or the food regulator of food safety and standards authority of india (fssai) ever inspected the hygiene and quality of food in this restaurant. it is very sad …,Sree Annapoorna,data\raw_reviews\Google Reviews\sree_annapoorna_Google_reviews_tamilnadu.csv,the worst lunch i have ever tasted in this surrounding. i wonder if the officers or the food regulator of food safety and standards authority of india (fssai) ever inspected the hygiene and quality of food in this restaurant. it is very sad …,Food Quantity & Value for Money,0.61,Food Quantity & Value for Money,neutral,heuristic,6,True
Hotel Devi Annapoorna,"very bad service and poor maintenance. the room was dirty, insects everywhere and the washroom condition was horrible. staff response is also very slow. this is one of the worst lodges i have ever stayed in namakkal waste of money. please avoid this lodge and hotel old food given hotel devi annapoorna international namakal",Sree Annapoorna,data\raw_reviews\Google Reviews\sree_annapoorna_Google_reviews_tamilnadu.csv,"very bad service and poor maintenance. the room was dirty, insects everywhere and the washroom condition was horrible. staff response is also very slow. this is one of the worst lodges i have ever stayed in namakkal waste of money. please avoid this lodge and hotel old food given hotel devi annapoorna international namakal",Food Quantity & Value for Money,0.4666666666666667,Food Quantity & Value for Money,frustration,heuristic,6,True
